页号,章节/方法名,方法标识符,函数签名,说明
231,修复对象扩展属性,RepairExtentAttr,SSProcess.RepairExtentAttr(),修复对象扩展属性 Online Help 修复对象扩展属性 RepairExtentAttr 函数 RepairExtentAttr 函数 修复对象扩展属性。 SSProcess.RepairExtentAttr() 参数 说明 执行此函数可修复对象扩展属性。 示例 Sub OnClick() SS
232,修复选择集对象的非法高程值,RepairGeoHeight,"SSProcess.RepairGeoHeight(repairZero, repair9999, repairInvalid, maxHeightDIf)","修复选择集对象的非法高程值 Online Help 修复选择集对象的非法高程值 RepairGeoHeight 函数 RepairGeoHeight 函数 修复选择集对象的非法高程值。 SSProcess.RepairGeoHeight(repairZero, repair9999, repairI"
233,修复选择集对象的非法空间点,RepairSelectionObjPointList,SSProcess.RepairSelectionObjPointList( miniDist),修复选择集对象的非法空间点 Online Help 修复选择集对象的非法空间点 RepairSelectionObjPointList 函数 RepairSelectionObjPointList 函数 修复选择集对象的非法空间点。 SSProcess.RepairSelectionObjPoint
234,修复对象更新特性,RepairUpdateObject,SSProcess.RepairUpdateObject(),修复对象更新特性 Online Help 修复对象更新特性 RepairUpdateObject 函数 RepairUpdateObject 函数 修复对象更新特性。 SSProcess.RepairUpdateObject() 参数 说明 执行此函数可修复对象扩展属性。 示例 Sub OnClic
235,保存原始数据,SaveSourceData,SSProcess.SaveSourceData(beginID),保存原始数据 Online Help 保存原始数据 SaveSourceData 函数 SaveSourceData 函数 保存原始数据。 SSProcess.SaveSourceData(beginID) 参数 beginID 数据源句柄 说明 执行该函数，将保存原始数据。
236,查找城市部件关联属性,SearchCityPartAttr,"SSProcess.SearchCityPartAttr(partCondition,partFieldName,roadCondition,roadFieldName, courtyardCondition,courtyardFieldName,courtyardFieldName,interespointCondition, interespointFieldName, interespointCount)","查找城市部件关联属性 Online Help 查找城市部件关联属性 SearchCityPartAttr 函数 SearchCityPartAttr 函数 查找城市部件关联属性。 SSProcess.SearchCityPartAttr(partCondition,partFieldName,roa"
237,查找被指定地物包含的对象,SearchInnerObjIDs,"SSProcess.SearchInnerObjIDs( polygonID, objecType, codes, innerObjGetPointMode )","查找被指定地物包含的对象 Online Help 查找被指定地物包含的对象 SearchInnerObjIDs 函数 SearchInnerObjIDs 函数 查找被指定地物包含的对象。 SSProcess.SearchInnerObjIDs( polygonID, objecType, codes"
238,查找与指定多边形相关的对象,SearchInPolyObjIDs,"SSProcess.SearchInPolyObjIDs(polygonID, objecType, codes, innerObjGetPointMode, includeInner, includeCross)","查找与指定多边形相关的对象 Online Help 查找与指定多边形相关的对象 SearchInPolyObjIDs 函数 SearchInPolyObjIDs 函数 查找与指定多边形相关的对象。 SSProcess.SearchInPolyObjIDs(polygonID, objecType, "
239,查找与指定坐标点相近的地物,SearchNearObjIDs,"SSProcess.SearchNearObjIDs( x, y, searchRange, objecType, codes, filterID )","查找与指定坐标点相近的地物 Online Help 查找与指定坐标点相近的地物 SearchNearObjIDs 函数 SearchNearObjIDs 函数 查找与指定坐标点相近的地物。 SSProcess.SearchNearObjIDs( x, y, searchRange, objecTyp"
240,查找与指定线相近的地物,SearchNearObjIDs1,"SSProcess.SearchNearObjIDs1(xyCoords, searchRange, codes, filterID)","查找与指定线相近的地物 Online Help 查找与指定线相近的地物 SearchNearObjIDs1 函数 SearchNearObjIDs1 函数 查找与指定线相近的地物。 SSProcess.SearchNearObjIDs1(xyCoords, searchRange, codes, f"
241,查找与指定线相近的地物,SearchNearObjIDs2,"SSProcess.SearchNearObjIDs2(lineID, searchRange, codes, filterID)","查找与指定线相近的地物 Online Help 查找与指定线相近的地物 SearchNearObjIDs2 函数 SearchNearObjIDs2 函数 查找与指定线相近的地物。 SSProcess.SearchNearObjIDs2(lineID, searchRange, codes, fil"
242,对象查找,SearchObjIDs,"SSProcess.SearchObjIDs(xyCoords, objecType, codes, innerObjGetPointMode)","对象查找 Online Help 对象查找 SearchObjIDs 函数 SearchObjIDs 函数 查找与指定对象相交的对象。 SSProcess.SearchObjIDs(xyCoords, objecType, codes, innerObjGetPointMode) 参数 xyCoor"
243,查找在线上的点对象,SearchOnLineObjIDs,"SSProcess.SearchOnLineObjIDs(x1, y1, x2, y2, strWhere, OnlineLimit)","查找在线上的点对象 Online Help 查找在线上的点对象 SearchOnLineObjIDs 函数 SearchOnLineObjIDs 函数 查找在线上的点对象。 SSProcess.SearchOnLineObjIDs(x1, y1, x2, y2, strWhere, OnlineLi"
244,查找包含指定地物的对象,SearchOuterObjIDs,"SSProcess.SearchOuterObjIDs( innerObjID, objecType, codes, innerObjGetPointMode )","查找包含指定地物的对象 Online Help 查找包含指定地物的对象 SearchOuterObjIDs 函数 SearchOuterObjIDs 函数 查找包含指定地物的对象。 SSProcess.SearchOuterObjIDs( innerObjID, objecType, codes, "
245,查找与指定面对象关联的面对象,SearchRelatePolygonIDs,"SSProcess.SearchRelatePolygonIDs(polygonID, codes)",查找与指定面对象关联的面对象 Online Help 查找与指定面对象关联的面对象 SearchRelatePolygonIDs 函数 SearchRelatePolygonIDs 函数 查找与指定面对象关联的面对象。 SSProcess.SearchRelatePolygonIDs(polygon
246,选择集对象等距内插点,SelectionObjInnerInsertPoint,SSProcess.SelectionObjInnerInsertPoint( step ),选择集对象等距内插点 Online Help 选择集对象等距内插点 SelectionObjInnerInsertPoint 函数 SelectionObjInnerInsertPoint 函数 选择集对象等距内插点。 SSProcess.SelectionObjInnerInsertPoint( 
247,选择集对象相邻面合并处理,SelectionObjMerge,"SSProcess.SelectionObjMerge( anewAreaCode, newAreaLayer, miniDist, delOldObj )","选择集对象相邻面合并处理 Online Help 选择集对象相邻面合并处理 SelectionObjMerge 函数 SelectionObjMerge 函数 选择集对象相邻面合并处理。 SSProcess.SelectionObjMerge( anewAreaCode, newAreaLayer,"
248,选择集对象按指定规则排序,SelectionObjOrderby,"SSProcess.SelectionObjOrderby(orderbyMode, refpointx, refpointy)","选择集对象按指定规则排序 Online Help 选择集对象按指定规则排序 SelectionObjOrderby 函数 SelectionObjOrderby 函数 选择集对象按指定规则排序。 SSProcess.SelectionObjOrderby(orderbyMode, refpointx"
249,选择集对象内插节点高程,SelectionObjPartZ,SSProcess.SelectionObjPartZ(step),选择集对象内插节点高程 Online Help 选择集对象内插节点高程 SelectionObjPartZ 函数 SelectionObjPartZ 函数 选择集对象内插节点高程。 SSProcess.SelectionObjPartZ(step) 参数 step 内插步距 ( 米为单位 ) 说明 
250,选择集对象拓扑处理,SelectionObjTopProcess,"SSProcess.SelectionObjTopProcess( areaCode, areaLayer, miniDist, delArc )","选择集对象拓扑处理 Online Help 选择集对象拓扑处理 SelectionObjTopProcess 函数 SelectionObjTopProcess 函数 选择集对象拓扑处理。 SSProcess.SelectionObjTopProcess( areaCode, areaLayer, "
251,设置对象二进制属性值,SetObjectBinaryAttr,"SSProcess.SetObjectBinaryAttr(geoID, attrField, attrValue)","设置对象二进制属性值 Online Help 设置对象二进制属性值 SetObjectBinaryAttr 函数 SetObjectBinaryAttr 函数 设置对象二进制属性值。 SSProcess.SetObjectBinaryAttr(geoID, attrField, attrValue)"
252,设置选择对象二进制属性值,SetSelGeoBinaryAttr,"SSProcess.SetSelGeoBinaryAttr(index, attrField, attrValue)","设置选择对象二进制属性值 Online Help 设置选择对象二进制属性值 SetSelGeoBinaryAttr 函数 SetSelGeoBinaryAttr 函数 设置选择对象二进制属性值。 SSProcess.SetSelGeoBinaryAttr(index, attrField, attr"
253,面对象分割,SplitPolygon,"SSProcess.SplitPolygon(polygonID, splitLineIDs, delSrcObj)","面对象分割 Online Help 面对象分割 SplitPolygon 函数 SplitPolygon 函数 面对象分割。 SSProcess.SplitPolygon(polygonID, splitLineIDs, delSrcObj) 参数 polygonID 面地物 ID splitLin"
254,拓扑构面,TopProcess,SSProcess.TopProcess(progressMsg),拓扑构面 Online Help 拓扑构面 TopProcess 函数 TopProcess 函数 拓扑构面。 SSProcess.TopProcess(progressMsg) 参数 progressMsg 数据源句柄 说明 执行该函数，进行拓扑构面。 示例 Sub OnClick() ' 参数 
255,数据转换,,,数据转换 Online Help 数据转换 数据转换 清除数据转换参数列表 ClearDataXParameter 清除指定图幅更新前原始数据 ClearMapFrameSourceData 创建图幅切割句柄 CreateMapClipHandle 裁剪指定区域数据到 EDB 文件 CutRegio
256,清除数据转换参数列表,ClearDataXParameter,SSProcess.ClearDataXParameter(),清除数据转换参数列表 Online Help 清除数据转换参数列表 ClearDataXParameter 函数 ClearDataXParameter 函数 清除数据转换参数列表。 SSProcess.ClearDataXParameter() 参数 说明 执行该函数，将清除由 SetDataXP
257,清除指定图幅更新前原始数据,ClearMapFrameSourceData,SSProcess.ClearMapFrameSourceData(mapNumber),清除指定图幅更新前原始数据 Online Help 清除指定图幅更新前原始数据 ClearMapFrameSourceData 函数 ClearMapFrameSourceData 函数 清除指定图幅更新前原始数据。 SSProcess.ClearMapFrameSourceData(mapNumb
258,创建图幅切割句柄,CreateMapClipHandle,SSProcess.CreateMapClipHandle (),创建图幅切割句柄 Online Help 创建图幅切割句柄 CreateMapClipHandle 函数 CreateMapClipHandle 函数 创建图幅切割句柄。 SSProcess.CreateMapClipHandle () 参数 说明 执行该函数，将创建图幅切割句柄。
259,裁剪指定区域数据到EDB文件,CutRegionToEdb,"SSProcess.CutRegionToEdb(regionID, exportEdbFileOrPath, cutParameters, exportNewEdbFiles)","裁剪指定区域数据到EDB文件 Online Help 裁剪指定区域数据到 EDB 文件 CutRegionToEdb 函数 CutRegionToEdb 函数 裁剪指定区域数据到 EDB 文件。 SSProcess.CutRegionToEdb(regionID, exportEdbFileOrPa"
260,执行数据输出,ExportData,SSProcess.ExportData(),"执行数据输出 Online Help 执行数据输出 ExportData 函数 ExportData 函数 执行数据输出。 SSProcess.ExportData() 参数 说明 执行该函数，将根据 SetDataXParameter 设定的转换参数进行数据输出。 在数据导出到指定格式前 , 将会"
261,释放转换对象缓存,FreeExportObjBufferData,SSProcess.FreeExportObjBufferData(),释放转换对象缓存 Online Help 释放转换对象缓存 FreeExportObjBufferData 函数 FreeExportObjBufferData 函数 释放转换对象缓存。 SSProcess.FreeExportObjBufferData() 参数 说明 执行该函数，将释放转换对象缓
262,释放图幅切割句柄,FreeMapClipHandle,SSProcess.FreeMapClipHandle(),释放图幅切割句柄 Online Help 释放图幅切割句柄 FreeMapClipHandle 函数 FreeMapClipHandle 函数 释放图幅切割句柄。 SSProcess.FreeMapClipHandle() 参数 说明 执行该函数，将释放图幅切割句柄。 示例 Sub OnClick(
263,获取当前转换的文件名,GetImportFileName,SSProcess.GetImportFileName(),获取当前转换的文件名 Online Help 获取当前转换的文件名 GetImportFileName 函数 GetImportFileName 函数 获取当前转换的文件名。 SSProcess.GetImportFileName() 参数 说明 执行该函数，将返回当前正在转换的数据文件名。 返回当
264,执行数据导入,ImportData,SSProcess.ImportData(),"执行数据导入 Online Help 执行数据导入 ImportData 函数 ImportData 函数 执行数据导入。 SSProcess.ImportData() 参数 说明 执行该函数，将根据 SetDataXParameter 设定的转换参数进行数据导入。 在数据存入数据库前 , 将会把转"
265,指定图幅是否存在更新前原始数据,IsMapFrameExistentSourceData,SSProcess.IsMapFrameExistentSourceData(mapNumber),指定图幅是否存在更新前原始数据 Online Help 指定图幅是否存在更新前原始数据 IsMapFrameExistentSourceData 函数 IsMapFrameExistentSourceData 函数 指定图幅是否存在更新前原始数据。 SSProcess.IsMapFrameExist
266,设定数据转换参数,SetDataXParameter,"SSProcess.SetDataXParameter( parameterName, parameterValue )","设定数据转换参数 Online Help 设定数据转换参数 SetDataXParameter 函数 SetDataXParameter 函数 设定数据转换参数。 SSProcess.SetDataXParameter( parameterName, parameterValue ) 参数 para"
267,生成转换对象缓存,UpdateExportObjListToBuffer,SSProcess.UpdateExportObjListToBuffer,生成转换对象缓存 Online Help 生成转换对象缓存 UpdateExportObjListToBuffer 函数 UpdateExportObjListToBuffer 函数 生成转换对象缓存。 SSProcess.UpdateExportObjListToBuffer （ symbolEx
268,图幅操作,,,图幅操作 Online Help 图幅 操作 图幅操作 创建当前数据涉及图幅缓存 CreateMapFrame 创建指定编码中心线的图幅缓存 CreateMapFrameByCenterLine 创建指定打印页面方案的图幅缓存 CreateMapFrameByPrintRegion 创建指定编码区域
269,创建当前数据涉及图幅缓存,CreateMapFrame,SSProcess.CreateMapFrame(),创建当前数据涉及图幅缓存 Online Help 创建当前数据涉及图幅缓存 CreateMapFrame 函数 CreateMapFrame 函数 创建当前数据涉及图幅缓存。 SSProcess.CreateMapFrame() 参数 说明 执行该函数，将创建有数据图幅的图幅缓存。 通过方法 Get
270,创建指定编码中心线的图幅缓存,CreateMapFrameByCenterLine,"SSProcess.CreateMapFrameByCenterLine( centerLineCode, paperWidth, paperHeight, marginDist )",创建指定编码中心线的图幅缓存 Online Help 创建指定编码中心线的图幅缓存 CreateMapFrameByCenterLine 函数 CreateMapFrameByCenterLine 函数 创建指定编码中心线的图幅缓存。 SSProcess.CreateMapFrameByCenter
271,创建指定打印页面方案的图幅缓存,CreateMapFrameByPrintRegion,SSProcess.CreateMapFrameByPrintRegion(pageScheme),创建指定打印页面方案的图幅缓存 Online Help 创建指定打印页面方案的图幅缓存 CreateMapFrameByPrintRegion 函数 CreateMapFrameByPrintRegion 函数 创建指定打印页面方案的图幅缓存。 SSProcess.CreateMapFrameByP
272,创建指定编码区域内的图幅缓存,CreateMapFrameByRegion,SSProcess.CreateMapFrameByRegion( code ),创建指定编码区域内的图幅缓存 Online Help 创建指定编码区域内的图幅缓存 CreateMapFrameByRegion 函数 CreateMapFrameByRegion 函数 创建指定地物编码区域内的图幅缓存。 SSProcess.CreateMapFrameByRegion( code
273,创建指定ID区域内的图幅缓存,CreateMapFrameByRegionID,SSProcess.CreateMapFrameByRegionID(objID),创建指定ID区域内的图幅缓存 Online Help 创建指定 ID 区域内的图幅缓存 CreateMapFrameByRegionID 函数 CreateMapFrameByRegionID 函数 创建指定 ID 区域内的图幅缓存。 SSProcess.CreateMapFrameByRegion
274,创建一个图廓对象,CreateOneMapFrame,"SSProcess.CreateOneMapFrame(frameIndex, frameCode)","创建一个图廓对象 Online Help 创建一个图廓对象 CreateOneMapFrame 函数 CreateOneMapFrame 函数 创建一个图廓对象。 SSProcess.CreateOneMapFrame(frameIndex, frameCode) 参数 frameIndex 索引号"
275,裁剪当前图幅数据到EDB文件,CutCurMapFrameToEdb,SSProcess.CutCurMapFrameToEdb,裁剪当前图幅数据到EDB文件 Online Help 裁剪当前图幅数据到 EDB 文件 CutCurMapFrameToEdb 函数 CutCurMapFrameToEdb 函数 裁剪当前图幅数据到 EDB 文件。 SSProcess.CutCurMapFrameToEdb （ exportEdbF
276,释放所有图幅缓存,FreeMapFrame,SSProcess.FreeMapFrame(),"释放所有图幅缓存 Online Help 释放所有图幅缓存 FreeMapFrame 函数 FreeMapFrame 函数 释放所有图幅缓存。 SSProcess.FreeMapFrame() 参数 说明 执行该函数，将释放所有图幅缓存 , 与 CreateMapFrame 或 CreateMapF"
277,获取当前图幅ID,GetCurMapFrame,SSProcess.GetCurMapFrame(),获取当前图幅ID Online Help 获取当前图幅 ID GetCurMapFrame 函数 GetCurMapFrame 函数 创建当前图幅 ID 。 SSProcess.GetCurMapFrame() 参数 说明 执行该函数，将获取当前图幅 ID 。
278,获取当前图幅的图幅号,GetCurMapFrameNumber,SSProcess.GetCurMapFrameNumber(),获取当前图幅的图幅号 Online Help 获取当前图幅的图幅号 GetCurMapFrameNumber 函数 GetCurMapFrameNumber 函数 获取当前图幅的图幅号。 SSProcess.GetCurMapFrameNumber() 参数 说明 执行此函数，返回当前图幅的图号，如
